"","X2022","X2023","2024","2025"
"M","0.1","0.1","0.1","0.1"
"Tier","5","5","5","5"
"W_bio_pred","2013","2013","1384","1384"
"C_bio_pred","27258","27258","25249","25249"
"E_bio_pred","6890","6890","7172","7172"
"total_GOA_bio","36162","36162","33804","33804"
"F_OFL","0.1","0.1","0.1","0.1"
"max_F_ABC","0.075","0.075","0.075","0.075"
"F_ABC","0.075","0.075","0.075","0.075"
"OFL","3616","3616","3380","3380"
"W_max_ABC","151","151","104","104"
"C_max_ABC","2044","2044","1894","1894"
"E_max_ABC","517","517","538","538"
"W_r_ABC","151","151","104","104"
"C_r_ABC","2044","2044","1894","1894"
"E_r_ABC","517","517","538","538"
"blank",NA,NA,NA,NA
"Status","2020","2021","2022","2023"
"Overfishing?","No","n/a","No","n/a"
