year,assess_group,strata,catch_wght
1992,other_skates,CGOA,0.01
2001,longnose_skate,CGOA,0.6299999999999999
2002,longnose_skate,CGOA,4.93
2002,other_skates,CGOA,781.25
2002,other_skates,EGOA,2.4
2002,other_skates,WGOA,175.61
2003,longnose_skate,CGOA,40.456
2003,longnose_skate,EGOA,8.040000000000001
2003,longnose_skate,WGOA,1.493
2003,other_skates,CGOA,3801.559
2003,other_skates,EGOA,123.57600000000001
2003,other_skates,WGOA,570.708
2004,big_skate,CGOA,1121.006
2004,big_skate,EGOA,7
2004,big_skate,WGOA,40.796
2004,longnose_skate,CGOA,435.678
2004,longnose_skate,EGOA,4.73
2004,longnose_skate,WGOA,13.878
2004,other_skates,CGOA,802.917
2004,other_skates,EGOA,178.667
2004,other_skates,WGOA,394.417
2005,big_skate,CGOA,811.22
2005,big_skate,EGOA,65.18900000000001
2005,big_skate,WGOA,26.257
2005,longnose_skate,CGOA,992.8100000000001
2005,longnose_skate,EGOA,161.856
2005,longnose_skate,WGOA,36.928
2005,other_skates,CGOA,505.791
2005,other_skates,EGOA,42.452
2005,other_skates,WGOA,163.059
2006,big_skate,CGOA,1271.655
2006,big_skate,EGOA,344.219
2006,big_skate,WGOA,72.455
2006,longnose_skate,CGOA,681.618
2006,longnose_skate,EGOA,218.54
2006,longnose_skate,WGOA,56.876
2006,other_skates,CGOA,988.4830000000001
2006,other_skates,EGOA,51.093
2006,other_skates,WGOA,353.707
2007,big_skate,CGOA,1517.544
2007,big_skate,EGOA,7.947
2007,big_skate,WGOA,68.859
2007,longnose_skate,CGOA,977.928
2007,longnose_skate,EGOA,341.979
2007,longnose_skate,WGOA,75.731
2007,other_skates,CGOA,690.493
2007,other_skates,EGOA,87.822
2007,other_skates,WGOA,478.958
2008,big_skate,CGOA,1240.695
2008,big_skate,EGOA,45.34
2008,big_skate,WGOA,132.09
2008,longnose_skate,CGOA,964.956
2008,longnose_skate,EGOA,113.301
2008,longnose_skate,WGOA,34.075
2008,other_skates,CGOA,1052.724
2008,other_skates,EGOA,69.396
2008,other_skates,WGOA,252.344
2009,big_skate,CGOA,1902.919
2009,big_skate,EGOA,99.526
2009,big_skate,WGOA,79.304
2009,longnose_skate,CGOA,1095.864
2009,longnose_skate,EGOA,243.91
2009,longnose_skate,WGOA,79.258
2009,other_skates,CGOA,1091.739
2009,other_skates,EGOA,112.843
2009,other_skates,WGOA,343.329
2010,big_skate,CGOA,2236.1248761393
2010,big_skate,EGOA,148.9502633729
2010,big_skate,WGOA,147.6728041136
2010,longnose_skate,CGOA,868.4262817972
2010,longnose_skate,EGOA,131.4458468284
2010,longnose_skate,WGOA,105.7032503
2010,other_skates,CGOA,991.4823626651
2010,other_skates,EGOA,83.7628375958
2010,other_skates,WGOA,421.1570726924
2011,big_skate,CGOA,2108.8250579689998
2011,big_skate,EGOA,90.0594502145
2011,big_skate,WGOA,110.4894795003
2011,longnose_skate,CGOA,897.9737255903
2011,longnose_skate,EGOA,74.2099809933
2011,longnose_skate,WGOA,70.1636028903
2011,other_skates,CGOA,1009.4224553097
2011,other_skates,EGOA,66.4763224626
2011,other_skates,WGOA,312.2772909875
2012,big_skate,CGOA,1901.6477440743
2012,big_skate,EGOA,38.2244194373
2012,big_skate,WGOA,65.5763170426
2012,longnose_skate,CGOA,802.2762522634
2012,longnose_skate,EGOA,92.7246640561
2012,longnose_skate,WGOA,38.5224045628
2012,other_skates,CGOA,848.0442247285
2012,other_skates,EGOA,103.9310001322
2012,other_skates,WGOA,255.3556842162
2013,big_skate,CGOA,2320.6078324099
2013,big_skate,EGOA,90.6069003084
2013,big_skate,WGOA,121.438551257
2013,longnose_skate,CGOA,1267.4566538777
2013,longnose_skate,EGOA,442.86591245339997
2013,longnose_skate,WGOA,86.2960254961
2013,other_skates,CGOA,1493.9201116378001
2013,other_skates,EGOA,193.141464291
2013,other_skates,WGOA,215.5712742885
2014,big_skate,CGOA,1396.1422902536
2014,big_skate,EGOA,99.16561514440001
2014,big_skate,WGOA,159.1495631099
2014,longnose_skate,CGOA,1159.4026649716
2014,longnose_skate,EGOA,336.0724973189
2014,longnose_skate,WGOA,58.9789339013
2014,other_skates,CGOA,1360.8823796898
2014,other_skates,EGOA,229.1568201162
2014,other_skates,WGOA,306.0893067797
2015,big_skate,CGOA,1210.7742740054
2015,big_skate,EGOA,56.3238905741
2015,big_skate,WGOA,235.9498962706
2015,longnose_skate,CGOA,1173.1340811784
2015,longnose_skate,EGOA,349.3532773811
2015,longnose_skate,WGOA,137.289909429
2015,other_skates,CGOA,1030.2919371445
2015,other_skates,EGOA,172.1571812909
2015,other_skates,WGOA,572.8734468486
2016,big_skate,CGOA,1854.3380782225
2016,big_skate,EGOA,49.6403184974
2016,big_skate,WGOA,167.0857819512
2016,longnose_skate,CGOA,888.8696589404
2016,longnose_skate,EGOA,347.923037842
2016,longnose_skate,WGOA,154.660184638
2016,other_skates,CGOA,1022.0444946531
2016,other_skates,EGOA,154.5754912302
2016,other_skates,WGOA,460.8423288922
2017,big_skate,CGOA,1452.7473752978
2017,big_skate,EGOA,83.6681900289
2017,big_skate,WGOA,193.8602261529
2017,longnose_skate,CGOA,766.0153069586
2017,longnose_skate,EGOA,316.3176881206
2017,longnose_skate,WGOA,189.1431415024
2017,other_skates,CGOA,940.0628621072
2017,other_skates,EGOA,129.2705479888
2017,other_skates,WGOA,595.5002509676
2018,big_skate,CGOA,928.6573750492
2018,big_skate,EGOA,78.4185538924
2018,big_skate,WGOA,302.7016549328
2018,longnose_skate,CGOA,592.8315373913
2018,longnose_skate,EGOA,232.9181584597
2018,longnose_skate,WGOA,56.7080981992
2018,other_skates,CGOA,420.5364849838
2018,other_skates,EGOA,147.1038846016
2018,other_skates,WGOA,178.2026817964
2019,big_skate,CGOA,1116.5175717938
2019,big_skate,EGOA,101.8407056537
2019,big_skate,WGOA,132.1789521376
2019,longnose_skate,CGOA,630.2633303364
2019,longnose_skate,EGOA,314.6089212882
2019,longnose_skate,WGOA,60.2543476615
2019,other_skates,CGOA,548.692749407
2019,other_skates,EGOA,136.7198265367
2019,other_skates,WGOA,211.7154201891
2020,big_skate,CGOA,810.9798618319
2020,big_skate,EGOA,180.2480167447
2020,big_skate,WGOA,31.4799603003
2020,longnose_skate,CGOA,362.7896759804
2020,longnose_skate,EGOA,264.5491623569
2020,longnose_skate,WGOA,21.0937456634
2020,other_skates,CGOA,242.1969440994
2020,other_skates,EGOA,211.572782063
2020,other_skates,WGOA,33.5278599796
2021,big_skate,CGOA,429.1214145772
2021,big_skate,EGOA,188.6637050252
2021,big_skate,WGOA,126.2295003895
2021,longnose_skate,CGOA,522.1325392728
2021,longnose_skate,EGOA,470.1713324244
2021,longnose_skate,WGOA,40.1635987306
2021,other_skates,CGOA,377.71966470990003
2021,other_skates,EGOA,196.1543173274
2021,other_skates,WGOA,158.6449165108
2022,big_skate,CGOA,766.2963764723
2022,big_skate,EGOA,100.2791550745
2022,big_skate,WGOA,164.3615085802
2022,longnose_skate,CGOA,516.9272620284
2022,longnose_skate,EGOA,412.7085752163
2022,longnose_skate,WGOA,68.2541468928
2022,other_skates,CGOA,575.2163721098
2022,other_skates,EGOA,189.8429225542
2022,other_skates,WGOA,215.5088869782
2023,big_skate,CGOA,628.9848823293
2023,big_skate,EGOA,115.7841461076
2023,big_skate,WGOA,47.4829387751
2023,longnose_skate,CGOA,388.9746228212
2023,longnose_skate,EGOA,607.4325746562
2023,longnose_skate,WGOA,58.6122427625
2023,other_skates,CGOA,184.3904097178
2023,other_skates,EGOA,71.4697629516
2023,other_skates,WGOA,60.0947146484
