year,big_obs,big_obs_cv,big_pred,big_pred_lci,big_pred_uci,ln_obs,ln_obs_cv,ln_pred,ln_pred_lci,ln_pred_uci,ot_obs,ot_obs_cv,ot_pred,ot_pred_lci,ot_pred_uci
1990,22316.1,0.249768489305193,34823.1781858651,22260.6082494204,54475.3191546815,11995,0.223337811204113,15200.0207033953,10747.1095622763,21497.9318899499,13921.4,0.24720692307786,11377.6922442717,7108.17102258106,18211.7003648508
1991,NA,NA,36122.8422251846,24674.1426131938,52883.6908694791,NA,NA,16267.2379626201,11723.5300245418,22571.9583076558,NA,NA,7052.17032014522,3482.88362488888,14279.2902607889
1992,NA,NA,37471.0120788238,27321.1390658615,51391.5888655532,NA,NA,17409.3862170464,13082.6291992398,23167.1114298565,NA,NA,4371.10664945045,2052.12365100904,9310.63453777508
1993,39732.6,0.178986360818205,38869.4980715678,30196.6675276251,50033.2653910712,17802.5,0.122278136529023,18631.7264892009,15134.7564598146,22936.6909794755,1448.7,0.322459304054238,2709.31819191748,1392.05005598312,5273.08988172192
1994,NA,NA,40180.4819553838,31758.3573144931,50836.1032083403,NA,NA,20811.560122494,16164.5636787879,26794.4773109186,NA,NA,4088.86392264173,1913.55548342968,8737.03862922015
1995,NA,NA,41535.6824828122,33394.99549694,51660.8220375737,NA,NA,23246.4251223967,18063.5545257031,29916.3866227023,NA,NA,6170.85443406287,3113.74587133033,12229.4644521276
1996,43063.8,0.176266942092462,42936.5909853611,35108.3026588452,52510.3951438031,26225.7,0.136205992741769,25966.159086128,21125.9641268159,31915.2969132552,9745.9,0.18908821421195,9312.96447297541,6610.9180417234,13119.4044045798
1997,NA,NA,44363.3689497682,35707.8098523549,55117.0321761828,NA,NA,28786.0327289249,22296.1117568328,37165.0308048349,NA,NA,11717.6634051032,6132.13812811352,22390.8256478779
1998,NA,NA,45837.5585813107,36328.4287788996,57835.7459245649,NA,NA,31912.139085423,24609.4188896368,41381.9044478222,NA,NA,14743.2792290495,7855.67168683021,27669.7259115508
1999,54650.4,0.147228614907931,47360.7353642167,36968.828932304,60673.7978729794,39333.3,0.139135442153696,35377.7344241009,28331.8649205326,44175.8456950416,18879.2,0.115212233093217,18550.1387871457,14884.7976343834,23118.0602837011
2000,NA,NA,47333.3581561955,36716.2661345088,61020.5511130919,NA,NA,36309.4245762489,27783.0633703396,47452.4459554652,NA,NA,19349.457297371,10000.1323046325,37439.6544263064
2001,NA,NA,47305.996773763,36761.904952772,60874.3571268751,NA,NA,37265.6512498485,28349.8943230027,48985.3241515803,NA,NA,20183.2181418624,9520.5793028377,42787.5533204777
2002,NA,NA,47278.6512077712,37113.6355791803,60227.7525535657,NA,NA,38247.0606263407,30015.2893130955,48736.4166740432,NA,NA,21052.9054278619,10884.640390562,40720.2085738004
2003,55396.7,0.163849515621789,47251.3214490772,37822.7693642073,59030.2459659889,39603,0.0909288504291315,39254.3159046745,33672.0887810935,45761.975954672,21737.6,0.115133602238174,21960.0672122348,17661.3681051736,27305.0507239362
2004,NA,NA,45832.2058858224,37678.5363718424,55750.3368928686,NA,NA,39689.0730124921,32526.9828443416,48428.1780492577,NA,NA,25537.2612268394,14850.2796259162,43915.1132097017
2005,39319.6,0.161533952709373,44455.7111196187,37137.8884845066,53215.4716328443,41369.9,0.0819062727954954,40128.6452276027,34942.5819121941,46084.4070380741,29997.8,0.111832066326587,29697.1637046946,24071.7714595334,36637.1678788166
2006,NA,NA,44156.9815509425,36496.3260121818,53425.6247886282,NA,NA,38074.967958816596,31157.0891253896,46528.8390462498,NA,NA,30815.1968725591,17950.2068988924,52900.5801238518
2007,39629.5,0.194151125032044,43860.2593588878,36353.2174941216,52917.5265254026,34469.6,0.106941692104603,36126.3924272163,30672.5221321864,42550.0134674512,32273.5,0.106410931572091,31975.3215403687,26161.85174003,39080.6124035007
2008,NA,NA,44164.7620303589,36459.280586651,53498.7573482835,NA,NA,36309.2263533219,29623.0364822051,44504.5503410402,NA,NA,29547.6022453332,17184.6325122048,50804.7406791129
2009,44349.3,0.161315820260994,44471.3787312107,36906.4869449941,53586.8810597544,36652.4,0.0893906586872311,36492.9855930914,31526.2840648381,42242.1492732437,27398.8,0.120744944276139,27304.2070068376,21804.5613879167,34190.998250732
2010,NA,NA,44804.0082020196,36370.6230502847,55192.8722307364,NA,NA,36398.569201826,29631.9350646088,44710.4057514781,NA,NA,24397.4957311665,14198.8370457062,41921.5880875463
2011,67882.5,0.366264679254926,45139.1256182894,36090.5479710687,56456.3514861858,33911.2,0.112877534977508,36304.3970891472,30583.1590300763,43095.9158506258,21364.2,0.102432069863462,21800.2228668728,17948.7741643203,26478.1155913174
2012,NA,NA,44748.0913973687,35816.1913411741,55907.4432184342,NA,NA,39035.5950918815,31670.3300322349,48113.7292420503,NA,NA,25573.0906196695,14900.5591529027,43889.8270280298
2013,38233.5,0.255932011078372,44360.4446537161,35870.3468126343,54860.0508423936,44484.1,0.105441037953639,41972.2624902878,35583.2293623159,49508.4580608443,30704.8,0.114644225698167,29998.9118384476,24179.376995119,37219.1025299212
2014,NA,NA,44492.5654096851,35677.5049305203,55485.6170741265,NA,NA,41939.2153518459,34161.3853110907,51487.8939572005,NA,NA,27393.9529735621,15942.3531247992,47071.3861149142
2015,58047.4,0.170269199031692,44625.0796669883,35721.4722892997,55747.9187631797,41925.8,0.0904719320501151,41906.194233287,36074.2760084659,48680.9247316798,25185.7,0.108211071582512,25015.196003075,20404.2628210925,30668.1028645342
2016,NA,NA,42752.0806286943,35169.7417138575,51969.1163203003,NA,NA,41839.701176763,33614.8529517943,52076.9969474872,NA,NA,21043.5781542599,12213.4529507234,36257.7383579487
2017,33609.9,0.174343626136507,40957.69490434,33975.4875805927,49374.7961055086,49501.3,0.165148499096923,41773.3136255622,33844.9745304503,51558.9021847127,17819.5,0.129747926050719,17702.526955216,13923.4423371168,22507.3263502337
2018,NA,NA,40551.2691831505,33419.8054270864,49204.518438984,NA,NA,38194.2891130987,30623.0035664765,47637.5126851355,NA,NA,14088.3236908397,8113.94928330507,24461.6841303482
2019,43481.8,0.161834111930387,40148.8764493455,33306.6307524725,48396.7379385904,32279.1,0.105575265761982,34921.9057394168,29507.1658619839,41330.2824872085,10736.3,0.146095377685015,11212.007467634,8564.97019792745,14677.1218754153
2020,NA,NA,39144.119041211,31618.8962280323,48460.3271556976,NA,NA,35253.5300521579,28598.3692855685,43457.4212511325,NA,NA,11908.9121151234,6788.88790572242,20890.3416487682
2021,31855.6,0.211352331803204,38164.5064824093,30141.1566915959,48323.6117959594,36605.7,0.106033986309046,35588.3035253606,30194.6021378167,41945.4888669308,13330.4,0.177488054452139,12649.1342585289,9213.98375908246,17364.9749851766
2022,NA,NA,37984.0493419224,29547.4211685065,48829.5745399063,NA,NA,34684.9056551067,28026.6124955311,42925.0120932552,NA,NA,10591.6210376344,6021.28059415357,18630.992934258
