Year,Location,OFL,ABC,TAC,Catch
2005,W,,,,163
2005,C,,,,506
2005,E,,,,42
2005,GOA-wide,1769,1327,1327,711
2006,W,,,,354
2006,C,,,,988
2006,E,,,,51
2006,GOA-wide,2156,1617,1617,1393
2007,W,,,,479
2007,C,,,,690
2007,E,,,,88
2007,GOA-wide,2156,1617,1617,1257
2008,W,,,,252
2008,C,,,,1053
2008,E,,,,69
2008,GOA-wide,2806,2104,2104,1374
2009,W,,,,343
2009,C,,,,1092
2009,E,,,,113
2009,GOA-wide,2806,2104,2104,1548
2010,W,,,,421
2010,C,,,,991
2010,E,,,,84
2010,GOA-wide,2791,2093,2093,1496
2011,W,,,,312
2011,C,,,,1009
2011,E,,,,66
2011,GOA-wide,2791,2093,2093,1388
2012,W,,,,255
2012,C,,,,848
2012,E,,,,104
2012,GOA-wide,2706,2030,2030,1207
2013,W,,,,216
2013,C,,,,1494
2013,E,,,,193
2013,GOA-wide,2706,2030,2030,1903
2014,W,,,,306
2014,C,,,,1361
2014,E,,,,229
2014,GOA-wide,2652,1989,1989,1896
2015,W,,,,573
2015,C,,,,1030
2015,E,,,,172
2015,GOA-wide,2652,2235,2235,1775
2016,W,,,,461
2016,C,,,,1022
2016,E,,,,155
2016,GOA-wide,2558,1919,1919,1637
2017,W,,,,596
2017,C,,,,940
2017,E,,,,129
2017,GOA-wide,2558,1919,1919,1665
2018,W,,,,178
2018,C,,,,421
2018,E,,,,147
2018,GOA-wide,1845,1384,1384,746
2019,W,,,,212
2019,C,,,,549
2019,E,,,,137
2019,GOA-wide,1845,1384,1384,897
2020,W,,,,34
2020,C,,,,242
2020,E,,,,212
2020,GOA-wide,1166,875,875,487
2021,W,,,,159
2021,C,,,,378
2021,E,,,,196
2021,GOA-wide,1166,875,875,733
2022,W,,,,216
2022,C,,,,575
2022,E,,,,190
2022,GOA-wide,1311,984,984,981
2023,W,,,,60
2023,C,,,,184
2023,E,,,,71
2023,GOA-wide,1311,984,984,316
