year,W_ABC,C_ABC,E_ABC,tot_ABC,W_TAC,C_TAC ,E_TAC,tot_TAC,OFL
2005,66,1972,780,2818,66,1972,780,2818,3757
2006,65,1969,861,2895,65,1969,861,2895,3860
2007,65,1969,861,2895,65,1969,861,2895,3860
2008,78,2041,768,2887,78,2041,768,2887,3849
2009,78,2041,768,2887,78,2041,768,2887,3849
2010,81,2009,762,2852,81,2009,762,2852,3803
2011,81,2009,762,2852,81,2009,762,2852,3803
2012,70,1879,676,2625,70,1879,676,2625,3500
2013,70,1879,676,2625,70,1879,676,2625,3500
2014,107,1935,834,2876,107,1935,834,2876,3835
2015,152,2090,976,3218,152,2090,976,3218,3835
2016,61,2513,632,3206,61,2513,632,3206,4274
2017,61,2513,632,3206,61,2513,632,3206,4274
2018,149,2804,619,3572,149,2804,619,3572,4763
2019,149,2804,619,3572,149,2804,619,3572,4763
2020,158,1875,554,2587,158,1875,554,2587,3449
2021,158,1875,554,2587,158,1875,554,2587,3449
2022,151,2044,517,2712,151,2044,517,2712,3616
2023,151,2044,517,2712,151,2044,517,2712,3616
